zone,lat,long,full_zone_name
AE,39.45,-74.57,Atlantic City Electric Co.
AEP,38.37,-82.56,American Electric Power
AP,38.89,-79.86,Allegheny Power Systems
BC,39.18,-76.67,Baltimore Gas and Electric Co.
CE,41.98,-87.91,ComEd
DAY,39.9,-84.22,Dayton Power & Light Co.
DEOK,39.05,-84.67,Duke Energy Ohio and Kentucky
DOM,37.51,-77.32,Dominion Power
DPL,39.68,-75.61,Delmarva Power & Light Co.
DUQ,40.49,-80.24,Duquesne Light Co.
EKPC,38.04,-84.6,East Kentucky Power Cooperative
JC,40.86,-74.06,Jersey Centry Power & Light
ME,40.19,-76.76,Met-Ed
ATSI,41.41,-81.85,"American Transmission Systems, Inc."
OVEC,40,-82.89,Ohio Valley Electric Corp.
PE,39.87,-75.24,PECO Energy Co.
PEP,38.85,-77.04,Pepco
PL,41.25,-76.92,PPL Electric Utilities
PN,42.09,-80.17,Pennsylvania Electric Co.
PS,40.69,-74.17,PSEG
RECO,40.88,-74.28,Rockland Electric Co.